label,ttr,hapax_count,hapax_percentage,adj_noun_ratio,dep_tree_depth,avg_sentence_length,flesch_kincaid,punct_comma,punct_period,punct_semicolon,punct_colon,punct_exclamation,punct_question,punct_dash,punct_hyphen,punct_apostrophe,punct_quotation,punct_parenthesis_open,punct_parenthesis_close
Class 1: Human,0.2592,845,65.2006172839506,0.4792176039119805,6.776171197223829,23.19116457743631,10.578750338037679,15.795904470374982,7.025633884668045,2.231605653347328,0.2539482718236544,0.6298400085642143,0.31109669432596654,0.7533932881994947,1.749466145194019,0.0,0.0,0.19679984932134237,0.19679984932134237
Class 2: AI Neutral,0.213,477,44.7887323943662,0.5080346106304079,7.1171489061397315,25.732806324110673,19.841053411736727,15.444168279557571,5.2709760889357415,0.03958440541097988,0.0020833897584726256,0.0,0.0,0.014583728309308378,1.095863012956601,1.0187775918931137,0.004166779516945251,0.0,0.0
Class 3: AI Styled,0.2498,733,58.686949559647715,0.48080330773774366,7.110775151181968,55.40738060781476,25.71352122614734,17.22626745812279,2.6634182160828015,0.6451626595132842,0.01485571913352957,0.15916841928781683,0.1146012618872281,0.05305613976260561,1.1460126188722812,0.7831086228960588,0.03395592944806759,0.0021222455905042245,0.0021222455905042245
